iter	Passed	Remaining
345	1827	3454
346	1831	3447
347	1835	3439
348	1839	3430
349	1844	3425
350	1847	3416
351	1851	3408
352	1856	3402
353	1859	3393
354	1863	3385
355	1866	3376
356	1870	3368
357	1873	3359
358	1877	3351
359	1880	3343
360	1887	3341
361	1893	3337
362	1900	3334
363	1904	3328
364	1912	3326
365	1915	3318
366	1919	3310
367	1923	3303
368	1929	3299
369	1936	3296
370	1942	3293
371	1948	3289
372	1954	3285
373	1959	3280
374	1964	3273
375	1967	3265
376	1971	3257
377	1975	3251
378	1979	3243
379	1983	3236
380	1989	3231
381	1994	3226
382	2000	3222
383	2004	3215
384	2008	3207
385	2012	3200
386	2015	3193
387	2019	3185
388	2023	3178
389	2027	3171
390	2031	3163
391	2035	3156
392	2038	3148
393	2042	3141
394	2047	3136
395	2051	3128
396	2055	3121
397	2058	3113
398	2065	3111
399	2070	3105
400	2075	3100
401	2081	3096
402	2088	3094
403	2095	3091
404	2099	3084
405	2103	3077
406	2107	3069
407	2111	3063
408	2116	3058
409	2121	3053
410	2127	3048
411	2133	3044
412	2138	3039
413	2142	3032
414	2146	3025
415	2150	3018
416	2155	3014
417	2159	3007
418	2165	3002
419	2170	2997
420	2174	2991
421	2179	2984
422	2185	2981
423	2189	2974
424	2193	2967
425	2197	2961
426	2202	2955
427	2210	2954
428	2214	2948
429	2219	2942
430	2223	2934
431	2226	2927
432	2230	2920
433	2234	2914
434	2238	2906
435	2241	2900
436	2245	2893
437	2249	2886
438	2252	2878
439	2256	2871
440	2260	2864
441	2264	2859
442	2268	2852
443	2272	2845
444	2278	2841
445	2283	2836
446	2289	2832
447	2294	2827
448	2300	2822
449	2304	2816
450	2309	2810
451	2313	2805
452	2320	2801
453	2326	2797
454	2332	2793
455	2336	2787
456	2340	2780
457	2343	2773
458	2348	2768
459	2351	2761
460	2356	2754
461	2361	2749
462	2365	2743
463	2368	2736
464	2372	2729
465	2376	2723
466	2383	2720
467	2390	2716
468	2395	2711
469	2401	2707
470	2406	2702
471	2412	2698
472	2418	2694
473	2429	2695
474	2435	2692
475	2441	2687
476	2445	2681
477	2449	2674
478	2453	2668
479	2456	2661
480	2461	2655
481	2465	2649
482	2469	2643
483	2476	2639
484	2482	2636
485	2488	2632
486	2496	2629
487	2500	2623
488	2504	2616
489	2508	2610
490	2514	2606
491	2519	2601
492	2526	2597
493	2530	2591
494	2534	2585
495	2538	2579
496	2544	2575
497	2548	2569
498	2552	2562
499	2556	2556
500	2560	2550
501	2564	2543
502	2567	2537
503	2571	2530
504	2578	2527
505	2584	2523
506	2588	2517
507	2594	2512
508	2598	2506
509	2602	2500
510	2607	2494
511	2610	2488
512	2615	2482
513	2618	2475
514	2623	2470
515	2627	2464
516	2631	2458
517	2635	2452
518	2641	2448
519	2645	2442
520	2649	2435
521	2652	2429
522	2656	2422
523	2660	2416
524	2665	2411
525	2670	2406
526	2676	2402
527	2683	2398
528	2690	2395
529	2696	2391
530	2700	2384
531	2704	2379
532	2707	2372
533	2713	2367
534	2718	2362
535	2723	2357
536	2728	2352
537	2732	2346
538	2736	2340
539	2741	2335
540	2745	2329
541	2748	2322
542	2754	2317
543	2757	2311
544	2761	2305
545	2765	2299
546	2769	2293
547	2773	2287
548	2779	2283
549	2784	2278
550	2788	2272
551	2792	2266
552	2796	2260
553	2800	2254
554	2805	2249
555	2808	2243
556	2812	2236
557	2816	2230
558	2820	2225
559	2824	2219
560	2828	2213
561	2832	2207
562	2836	2201
563	2841	2196
564	2844	2190
565	2849	2184
566	2853	2179
567	2857	2172
568	2860	2166
569	2864	2161
570	2870	2156
571	2875	2151
572	2880	2146
573	2885	2141
574	2891	2136
575	2895	2131
576	2899	2125
577	2903	2119
578	2907	2114
579	2913	2109
580	2918	2104
581	2924	2100
582	2930	2095
583	2934	2090
584	2938	2084
585	2942	2078
586	2946	2073
587	2951	2067
588	2955	2062
589	2958	2056
590	2963	2050
591	2966	2044
592	2970	2038
593	2974	2033
594	2980	2028
595	2984	2023
596	2989	2018
597	2993	2012
598	2998	2007
599	3001	2001
600	3005	1995
601	3009	1989
602	3012	1983
603	3016	1977
604	3020	1971
605	3024	1966
606	3028	1960
607	3032	1955
608	3036	1949
609	3039	1943
610	3044	1938
611	3050	1933
612	3053	1927
613	3056	1921
614	3061	1916
615	3065	1910
616	3069	1905
617	3072	1899
618	3076	1893
619	3080	1887
620	3084	1882
621	3088	1877
622	3092	1871
623	3096	1865
624	3100	1860
625	3105	1855
626	3109	1849
627	3113	1844
628	3117	1838
629	3122	1834
630	3127	1828
631	3131	1823
632	3137	1818
633	3143	1814
634	3148	1809
635	3155	1805
636	3162	1802
637	3167	1797
638	3173	1793
639	3179	1788
640	3185	1784
641	3192	1780
642	3196	1774
643	3200	1768
644	3203	1763
645	3210	1759
646	3215	1754
647	3220	1749
648	3224	1743
649	3229	1738
650	3233	1733
651	3237	1727
652	3242	1723
653	3246	1717
654	3251	1712
655	3255	1707
656	3259	1701
657	3263	1696
658	3268	1691
659	3274	1686
660	3280	1682
661	3287	1678
662	3291	1673
663	3295	1667
664	3300	1662
665	3307	1658
666	3312	1653
667	3318	1649
668	3322	1643
669	3326	1638
670	3330	1632
671	3334	1627
672	3338	1621
673	3341	1616
674	3345	1610
675	3349	1605
676	3353	1600
677	3357	1594
678	3361	1589
679	3365	1583
680	3369	1578
681	3375	1574
682	3381	1569
683	3386	1564
684	3390	1559
685	3393	1553
686	3398	1548
687	3402	1542
688	3405	1537
689	3409	1531
690	3413	1526
691	3417	1521
692	3422	1516
693	3426	1510
694	3430	1505
695	3434	1499
696	3437	1494
697	3441	1489
698	3445	1483
699	3449	1478
700	3454	1473
701	3459	1468
702	3465	1464
703	3471	1459
704	3480	1456
705	3486	1451
706	3491	1447
707	3498	1442
708	3504	1438
709	3511	1434
710	3518	1430
711	3524	1425
712	3529	1420
713	3534	1415
714	3539	1410
715	3544	1406
716	3550	1401
717	3555	1396
718	3560	1391
719	3565	1386
720	3572	1382
721	3579	1378
722	3584	1373
723	3589	1368
724	3593	1363
725	3597	1357
726	3601	1352
727	3605	1347
728	3610	1341
729	3613	1336
730	3616	1331
731	3620	1325
732	3624	1320
733	3629	1315
734	3633	1309
735	3636	1304
736	3639	1298
737	3644	1293
738	3649	1288
739	3652	1283
740	3656	1278
741	3660	1272
742	3665	1267
743	3671	1263
744	3678	1259
745	3685	1254
746	3690	1250
747	3697	1245
748	3703	1240
749	3709	1236
750	3714	1231
751	3720	1226
752	3724	1221
753	3728	1216
754	3732	1211
755	3736	1205
756	3740	1200
757	3745	1195
758	3749	1190
759	3752	1185
760	3756	1179
761	3760	1174
762	3765	1169
763	3771	1164
764	3778	1160
765	3785	1156
766	3792	1152
767	3799	1147
768	3804	1142
769	3809	1137
770	3816	1133
771	3824	1129
772	3830	1124
773	3835	1119
774	3841	1115
775	3845	1109
776	3850	1104
777	3855	1100
778	3863	1095
779	3869	1091
780	3876	1086
781	3882	1082
782	3889	1077
783	3894	1073
784	3902	1068
785	3908	1064
786	3914	1059
787	3920	1054
788	3925	1049
789	3930	1044
790	3934	1039
791	3940	1034
792	3945	1029
793	3950	1024
794	3955	1019
795	3960	1015
796	3966	1010
797	3972	1005
798	3979	1001
799	3987	996
800	3992	991
801	3996	986
802	4001	981
803	4005	976
804	4010	971
805	4016	966
806	4021	961
807	4024	956
808	4028	951
809	4034	946
810	4038	941
811	4044	936
812	4049	931
813	4052	926
814	4056	920
815	4062	915
816	4068	911
817	4074	906
818	4080	901
819	4084	896
820	4088	891
821	4092	886
822	4096	881
823	4101	876
824	4106	871
825	4112	866
826	4118	861
827	4123	856
828	4126	851
829	4132	846
830	4136	841
831	4141	836
832	4147	831
833	4152	826
834	4156	821
835	4160	816
836	4166	811
837	4172	806
838	4177	801
839	4182	796
840	4187	791
841	4191	786
842	4195	781
843	4200	776
844	4203	771
845	4208	766
846	4211	760
847	4215	755
848	4218	750
849	4222	745
850	4226	740
851	4230	734
852	4236	730
853	4240	724
854	4244	719
855	4249	714
856	4253	709
857	4258	704
858	4265	700
859	4270	695
860	4277	690
861	4281	685
862	4285	680
863	4289	675
864	4293	670
865	4300	665
866	4304	660
867	4310	655
868	4315	650
869	4319	645
870	4323	640
871	4327	635
872	4331	630
873	4334	624
874	4338	619
875	4341	614
876	4345	609
877	4348	604
878	4353	599
879	4357	594
880	4360	589
881	4366	584
882	4371	579
883	4375	574
884	4380	569
885	4384	564
886	4389	559
887	4392	554
888	4396	548
889	4399	543
890	4403	538
891	4407	533
892	4411	528
893	4415	523
894	4418	518
895	4422	513
896	4426	508
897	4429	503
898	4433	498
899	4437	493
900	4441	488
901	4445	482
902	4449	477
903	4453	472
904	4458	468
905	4464	463
906	4470	458
907	4477	453
908	4481	448
909	4486	443
910	4489	438
911	4495	433
912	4501	428
913	4508	424
914	4511	419
915	4515	414
916	4519	409
917	4523	404
918	4526	398
919	4529	393
920	4533	388
921	4537	383
922	4541	378
923	4545	373
924	4549	368
925	4553	363
926	4557	358
927	4561	353
928	4566	349
929	4570	344
930	4575	339
931	4580	334
932	4586	329
933	4590	324
934	4593	319
935	4598	314
936	4601	309
937	4605	304
938	4608	299
939	4612	294
940	4615	289
941	4619	284
942	4623	279
943	4627	274
944	4631	269
945	4635	264
946	4638	259
947	4642	254
948	4645	249
949	4649	244
950	4654	239
951	4659	234
952	4665	230
953	4670	225
954	4676	220
955	4682	215
956	4688	210
957	4695	205
958	4701	201
959	4711	196
960	4718	191
961	4732	186
962	4744	182
963	4751	177
964	4760	172
965	4767	167
966	4773	162
967	4781	158
968	4787	153
969	4793	148
970	4801	143
971	4808	138
972	4813	133
973	4820	128
974	4826	123
975	4836	118
976	4845	114
977	4854	109
978	4862	104
979	4869	99
980	4876	94
981	4880	89
982	4885	84
983	4891	79
984	4897	74
985	4903	69
986	4909	64
987	4915	59
988	4922	54
989	4929	49
990	4933	44
991	4938	39
992	4943	34
993	4947	29
994	4952	24
995	4957	19
996	4963	14
997	4968	9
998	4975	4
999	4979	0
